method,num_slices,num_vnfs_per_slice,avg_total_energy,std_total_energy,avg_acceptance_rate,avg_energy_per_accepted_slice,avg_runtime_sec
A*,4,2,8.445,0.0,1.0,2.11125,0.03616023063659664
ABO,4,2,3.91,0.0,1.0,0.9775,3.5605932235717774
Best Fit,4,2,4.445,0.0,1.0,1.11125,0.014979791641235298
Energy-Aware A*,4,2,8.445,0.0,1.0,2.11125,0.13245396614074703
FABO,4,2,10.1775,0.0,1.0,2.544375,3.5570361614227295
First Fit,4,2,4.285,0.0,1.0,1.07125,0.0020760059356688997
MILP (Gurobi),4,2,4.445,0.0,1.0,1.11125,0.01870622634887692
A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.05645904541015621
ABO,6,2,4.365,0.0,1.0,0.7275,5.4564783573150635
Best Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.022144556045532178
Energy-Aware A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.14498276710510252
FABO,6,2,15.007499999999999,0.0,1.0,2.50125,5.379176425933838
First Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.00301003456115718
MILP (Gurobi),6,2,6.762500000000001,0.0,1.0,1.1270833333333334,0.0634235858917236
A*,8,2,9.89,0.0,1.0,1.23625,0.07173957824707025
ABO,8,2,4.82,0.0,1.0,0.6025,7.061358880996704
Best Fit,8,2,7.890000000000001,0.0,1.0,0.9862500000000001,0.02760362625122064
Energy-Aware A*,8,2,9.89,0.0,1.0,1.23625,0.19405260086059567
FABO,8,2,17.542499999999997,0.0,1.0,2.1928124999999996,7.128657388687134
First Fit,8,2,8.05,0.0,1.0,1.00625,0.00381250381469724
MILP (Gurobi),8,2,7.35,0.0,1.0,0.91875,0.05549411773681636
A*,10,2,10.6125,0.0,1.0,1.06125,0.08911571502685542
ABO,10,2,10.5425,0.0,1.0,1.0542500000000001,8.50671215057373
Best Fit,10,2,10.6125,0.0,1.0,1.06125,0.03372340202331538
Energy-Aware A*,10,2,10.6125,0.0,1.0,1.06125,0.2426908493041992
FABO,10,2,20.184999999999995,0.0,1.0,2.0184999999999995,8.914777088165284
First Fit,10,2,10.8525,0.0,1.0,1.0852499999999998,0.0046847820281982
MILP (Gurobi),10,2,7.9375,0.0,1.0,0.79375,0.05285916328430172
A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.09944858551025389
ABO,12,2,13.372499999999999,0.0,1.0,1.1143750000000001,9.926686763763428
Best Fit,12,2,11.335,0.0,1.0,0.9445833333333334,0.03925433158874506
Energy-Aware A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.2759708881378174
FABO,12,2,20.72,0.0,1.0,1.7266666666666666,10.67589030265808
First Fit,12,2,11.655,0.0,1.0,0.9712499999999998,0.00548853874206538
MILP (Gurobi),12,2,8.524999999999999,0.0,1.0,0.7104166666666666,0.05570015907287592
A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.14227032661437983
ABO,16,2,16.737499999999997,0.0,1.0,1.0460937499999998,12.86148157119751
Best Fit,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.050155782699584914
Energy-Aware A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.3899981498718262
FABO,16,2,22.004999999999995,0.0,1.0,1.3753124999999997,14.526549100875854
First Fit,16,2,17.205000000000002,0.0,1.0,1.0753125000000001,0.00797376632690426
MILP (Gurobi),16,2,0.0,0.0,0.0,,6.018313264846801
A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.16006855964660643
ABO,18,2,17.272499999999997,0.0,1.0,0.9595833333333331,13.676642036437988
Best Fit,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.05475945472717277
Energy-Aware A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.4428060054779053
FABO,18,2,22.834999999999997,0.0,1.0,1.268611111111111,15.99831519126892
First Fit,18,2,17.980000000000004,0.0,1.0,0.998888888888889,0.00892190933227534
MILP (Gurobi),18,2,0.0,0.0,0.0,,7.4047040939331055
A*,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.17355179786682123
ABO,20,2,20.1025,0.0,1.0,1.005125,14.718877601623536
Best Fit,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.060483121871948174
Energy-Aware A*,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.49665327072143556
FABO,20,2,24.70499999999999,0.0,1.0,1.2352499999999995,17.677439212799072
First Fit,20,2,18.755000000000003,0.0,1.0,0.9377500000000001,0.01012301445007322
MILP (Gurobi),20,2,0.0,0.0,0.0,,2.241478109359741
A*,32,2,25.860000000000003,0.0,1.0,0.8081250000000001,0.25408263206481935
ABO,32,2,35.8,0.0,1.0,1.11875,19.532306289672853
Best Fit,32,2,25.860000000000003,0.0,1.0,0.8081250000000001,0.08788409233093256
Energy-Aware A*,32,2,27.980000000000008,0.0,1.0,0.8743750000000002,0.7715776920318603
FABO,32,2,36.67875,0.0,1.0,1.1462109375,24.188077688217163
First Fit,32,2,31.410000000000004,0.0,1.0,0.9815625000000001,0.01828370094299314
A*,4,3,15.6825,0.0,1.0,3.920625,0.185209846496582
ABO,4,3,15.345000000000002,0.0,1.0,3.8362500000000006,13.912179660797118
Best Fit,4,3,7.0200000000000005,0.0,1.0,1.7550000000000001,0.02092947959899896
Energy-Aware A*,4,3,15.6825,0.0,1.0,3.920625,0.5241568088531494
FABO,4,3,15.157500000000002,0.0,1.0,3.7893750000000006,13.415843152999878
First Fit,4,3,11.485,0.0,1.0,2.87125,0.00268945693969724
MILP (Gurobi),4,3,8.34,0.0,1.0,2.085,0.03565239906311034
A*,6,3,19.305,0.0,1.0,3.2175,0.28504023551940916
ABO,6,3,17.0175,0.0,1.0,2.8362499999999997,21.13290581703186
Best Fit,6,3,12.6925,0.0,1.0,2.115416666666667,0.030779504776000898
Energy-Aware A*,6,3,19.305,0.0,1.0,3.2175,0.8135317325592041
FABO,6,3,18.0175,0.0,1.0,3.0029166666666662,17.727143716812133
First Fit,6,3,16.377499999999998,0.0,1.0,2.729583333333333,0.0040652751922607
MILP (Gurobi),6,3,10.55,0.0,1.0,1.7583333333333335,0.0664864063262939
A*,8,3,21.59625,0.0,1.0,2.69953125,0.38186206817626955
ABO,8,3,22.6975,0.0,1.0,2.8371875,24.849585247039794
Best Fit,8,3,16.264999999999997,0.0,1.0,2.0331249999999996,0.03886437416076656
Energy-Aware A*,8,3,21.59625,0.0,1.0,2.69953125,1.0261641025543213
FABO,8,3,26.328750000000003,0.0,1.0,3.2910937500000004,21.449333810806273
First Fit,8,3,22.741250000000004,0.0,1.0,2.8426562500000006,0.0050171852111816
MILP (Gurobi),8,3,11.760000000000002,0.0,1.0,1.4700000000000002,0.070836067199707
A*,10,3,24.8875,0.0,1.0,2.48875,0.45704121589660646
ABO,10,3,27.8675,0.0,1.0,2.7867500000000005,29.091653537750243
Best Fit,10,3,21.8375,0.0,1.0,2.18375,0.046595430374145465
Energy-Aware A*,10,3,24.8875,0.0,1.0,2.48875,1.2689033508300782
FABO,10,3,29.829999999999995,0.0,1.0,2.9829999999999997,25.276299142837523
First Fit,10,3,27.16875,0.0,1.0,2.7168750000000004,0.00642437934875484
MILP (Gurobi),10,3,17.05,0.0,1.0,1.705,0.12805662155151362
A*,12,3,28.22875,0.0,1.0,2.352395833333334,0.4884925365447998
ABO,12,3,35.228750000000005,0.0,1.0,2.935729166666667,32.17509627342224
Best Fit,12,3,25.410000000000004,0.0,1.0,2.1175,0.053576993942260676
Energy-Aware A*,12,3,28.2825,0.0,1.0,2.356875,1.4008248329162598
FABO,12,3,36.235,0.0,1.0,3.0195833333333333,28.4570255279541
First Fit,12,3,30.64625000000001,0.0,1.0,2.5538541666666674,0.007332038879394501
MILP (Gurobi),12,3,19.5025,0.0,1.0,1.6252083333333336,0.13777656555175777
A*,16,3,33.99625000000001,0.0,1.0,2.1247656250000007,0.5909290790557862
ABO,16,3,45.16875000000001,0.0,1.0,2.8230468750000006,35.5674370765686
Best Fit,16,3,32.2025,0.0,1.0,2.01265625,0.06601715087890621
Energy-Aware A*,16,3,35.05000000000001,0.0,1.0,2.1906250000000007,1.758458185195923
FABO,16,3,47.14124999999999,0.0,1.0,2.9463281249999995,33.687559604644775
First Fit,16,3,41.048750000000005,0.0,1.0,2.5655468750000003,0.01131658554077144
MILP (Gurobi),16,3,0.0,0.0,0.0,,5.428433132171631
A*,18,3,36.148750000000014,0.0,1.0,2.0082638888888895,0.627956485748291
ABO,18,3,52.375000000000014,0.0,1.0,2.9097222222222228,35.98424110412598
Best Fit,18,3,32.81,0.0,0.9444444444444444,1.9300000000000002,0.07138185501098629
Energy-Aware A*,18,3,39.59000000000001,0.0,1.0,2.199444444444445,1.8564960956573486
FABO,18,3,50.16374999999999,0.0,1.0,2.7868749999999998,34.66927146911621
First Fit,18,3,43.59125,0.0,1.0,2.421736111111111,0.01270327568054196
MILP (Gurobi),18,3,0.0,0.0,0.0,,0.5720362663269043
A*,20,3,37.36375,0.0,1.0,1.8681875000000001,0.6681607723236084
ABO,20,3,54.57000000000001,0.0,1.0,2.7285000000000004,36.20899477005005
Best Fit,20,3,32.81,0.0,0.85,1.9300000000000002,0.076536750793457
Energy-Aware A*,20,3,44.89000000000001,0.0,1.0,2.2445000000000004,1.8876197338104248
FABO,20,3,56.57000000000001,0.0,1.0,2.8285,35.25418968200684
First Fit,20,3,47.06750000000001,0.0,1.0,2.3533750000000007,0.014544343948364218
MILP (Gurobi),20,3,0.0,0.0,0.0,,0.6650730609893799
A*,32,3,53.455,0.0,0.84375,1.9798148148148145,0.743822431564331
ABO,32,3,58.59749999999999,0.0,0.78125,2.3438999999999997,37.138782596588136
Best Fit,32,3,32.81,0.0,0.53125,1.9300000000000002,0.11508870124816888
Energy-Aware A*,32,3,54.49250000000001,0.0,0.84375,2.018240740740741,1.988297939300537
FABO,32,3,60.55749999999999,0.0,0.78125,2.4222999999999995,36.09665446281433
First Fit,32,3,47.89625000000001,0.0,0.65625,2.28077380952381,0.0254101753234863
A*,4,4,24.17875,0.0,1.0,6.0446875,0.6898473262786865
ABO,4,4,23.015000000000004,0.0,1.0,5.753750000000001,46.66165904998779
Best Fit,4,4,14.86,0.0,1.0,3.715,0.0253020286560058
Energy-Aware A*,4,4,24.17875,0.0,1.0,6.0446875,2.6351036548614504
FABO,4,4,25.0825,0.0,1.0,6.270625,48.80093712806702
First Fit,4,4,18.415,0.0,1.0,4.60375,0.0033616542816161605
MILP (Gurobi),4,4,14.605,0.0,1.0,3.65125,0.06671261787414548
A*,6,4,31.55625,0.0,1.0,5.2593749999999995,0.9293761253356934
ABO,6,4,29.49625000000001,0.0,1.0,4.9160416666666675,58.06167402267456
Best Fit,6,4,23.6725,0.0,1.0,3.9454166666666666,0.03484339714050288
Energy-Aware A*,6,4,31.55625,0.0,1.0,5.2593749999999995,3.5373119831085207
FABO,6,4,31.122499999999995,0.0,1.0,5.187083333333333,59.21478805541992
First Fit,6,4,25.215000000000003,0.0,1.0,4.202500000000001,0.004865264892578059
MILP (Gurobi),6,4,19.5375,0.0,1.0,3.25625,0.09086484909057611
A*,8,4,34.95250000000001,0.0,1.0,4.369062500000001,1.062776517868042
ABO,8,4,37.00375,0.0,1.0,4.62546875,65.75754957199096
Best Fit,8,4,30.585,0.0,1.0,3.823125,0.04187383651733394
Energy-Aware A*,8,4,35.99625,0.0,1.0,4.49953125,4.061097431182861
FABO,8,4,39.633750000000006,0.0,1.0,4.954218750000001,66.43769397735596
First Fit,8,4,32.8125,0.0,1.0,4.1015625,0.00634655952453606
MILP (Gurobi),8,4,0.0,0.0,0.0,,13.950721740722656
A*,10,4,39.0825,0.0,1.0,3.9082500000000002,1.1947405338287354
ABO,10,4,47.5625,0.0,1.0,4.75625,71.63776717185974
Best Fit,10,4,38.28,0.0,1.0,3.8280000000000003,0.046298122406005796
Energy-Aware A*,10,4,42.01375,0.0,1.0,4.2013750000000005,4.278302240371704
FABO,10,4,49.695,0.0,1.0,4.9695,68.53933477401733
First Fit,10,4,38.780000000000015,0.0,1.0,3.8780000000000014,0.00783910751342766
MILP (Gurobi),10,4,0.0,0.0,0.0,,1.643562650680542
A*,12,4,43.46,0.0,1.0,3.621666666666667,1.278287410736084
ABO,12,4,54.989999999999995,0.0,1.0,4.5825000000000005,72.80149388313293
Best Fit,12,4,38.28,0.0,0.8333333333333334,3.8280000000000003,0.050709247589111286
Energy-Aware A*,12,4,49.53125,0.0,1.0,4.127604166666667,4.385212087631226
FABO,12,4,49.695,0.0,0.8333333333333334,4.9695,68.63721709251404
First Fit,12,4,45.275000000000006,0.0,1.0,3.772916666666667,0.01010184288024896
MILP (Gurobi),12,4,0.0,0.0,0.0,,1.6136823177337647
A*,16,4,51.89375,0.0,0.9375,3.4595833333333332,1.3648431777954102
ABO,16,4,54.989999999999995,0.0,0.75,4.5825000000000005,73.22410769462586
Best Fit,16,4,38.28,0.0,0.625,3.8280000000000003,0.05545239448547362
Energy-Aware A*,16,4,54.015,0.0,0.875,3.8582142857142854,4.484163808822632
FABO,16,4,49.695,0.0,0.625,4.9695,69.02359147071839
First Fit,16,4,47.605,0.0,0.8125,3.6619230769230766,0.01353688240051264
A*,18,4,51.89375,0.0,0.8333333333333334,3.4595833333333332,1.3221895694732666
ABO,18,4,54.989999999999995,0.0,0.6666666666666666,4.5825000000000005,73.60670151710511
Best Fit,18,4,38.28,0.0,0.5555555555555556,3.8280000000000003,0.0583330631256103
Energy-Aware A*,18,4,54.015,0.0,0.7777777777777778,3.8582142857142854,4.503772974014282
FABO,18,4,49.695,0.0,0.5555555555555556,4.9695,69.36496152877808
First Fit,18,4,47.605,0.0,0.7222222222222222,3.6619230769230766,0.015400218963623
A*,20,4,51.89375,0.0,0.75,3.4595833333333332,1.2956013202667236
ABO,20,4,54.989999999999995,0.0,0.6,4.5825000000000005,73.80953483581543
Best Fit,20,4,38.28,0.0,0.5,3.8280000000000003,0.06233911514282222
Energy-Aware A*,20,4,54.015,0.0,0.7,3.8582142857142854,4.490770101547241
FABO,20,4,49.695,0.0,0.5,4.9695,69.62856073379517
First Fit,20,4,47.605,0.0,0.65,3.6619230769230766,0.01742744445800776
A*,32,4,51.89375,0.0,0.46875,3.4595833333333332,1.3241549491882325
ABO,32,4,54.989999999999995,0.0,0.375,4.5825000000000005,75.14550461769105
Best Fit,32,4,38.28,0.0,0.3125,3.8280000000000003,0.08371653556823726
Energy-Aware A*,32,4,54.015,0.0,0.4375,3.8582142857142854,4.588600397109985
FABO,32,4,49.695,0.0,0.3125,4.9695,70.99044189453124
First Fit,32,4,47.605,0.0,0.40625,3.6619230769230766,0.02959814071655268
